Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
 5.00, 8081, 39, 5.369689, 4.350003, 10.207386, 10.207386, 0.000000, 0.000000, 40409, 0, 0, 0.00, 0.00, 0
10.00, 9927, 39, 4.158862, 4.432247, 8.985692, 8.985692, 0.000000, 0.000000, 49635, 0, 0, 0.00, 0.00, 0
15.00, 10015, 37, 3.876523, 4.601942, 8.853152, 8.853152, 0.000000, 0.000000, 50077, 0, 0, 0.00, 0.00, 0
20.00, 10031, 39, 4.122237, 4.591222, 9.075958, 9.075958, 0.000000, 0.000000, 50156, 0, 0, 0.00, 0.00, 0
25.00, 10139, 38, 3.873679, 4.500454, 8.621482, 8.621482, 0.000000, 0.000000, 50699, 0, 0, 0.00, 0.00, 0
30.00, 10039, 38, 3.967455, 4.364773, 8.717144, 8.717144, 0.000000, 0.000000, 50196, 0, 0, 0.00, 0.00, 0
35.00, 10126, 36, 3.828016, 4.606197, 8.670486, 8.670486, 0.000000, 0.000000, 50631, 0, 0, 0.00, 0.00, 0
40.00, 10059, 38, 4.006433, 4.521790, 8.869854, 8.869854, 0.000000, 0.000000, 50297, 0, 0, 0.00, 0.00, 0
45.00, 10290, 39, 4.007740, 4.438933, 8.829763, 8.829763, 0.000000, 0.000000, 51450, 0, 0, 0.00, 0.00, 0
50.00, 10107, 38, 3.934002, 4.608803, 8.841424, 8.841424, 0.000000, 0.000000, 50539, 0, 0, 0.00, 0.00, 0
55.00, 10143, 37, 3.888233, 4.417654, 8.671885, 8.671885, 0.000000, 0.000000, 50715, 0, 0, 0.00, 0.00, 0
60.00, 10217, 36, 3.717176, 4.426274, 8.441640, 8.441640, 0.000000, 0.000000, 51089, 0, 0, 0.00, 0.00, 0
65.00, 10141, 38, 4.017557, 4.412485, 8.810556, 8.810556, 0.000000, 0.000000, 50707, 0, 0, 0.00, 0.00, 0
70.00, 10219, 39, 4.086275, 4.645108, 8.993087, 8.993087, 0.000000, 0.000000, 51097, 0, 0, 0.00, 0.00, 0
70.00, 101, 9, 1.734153, 3.654905, 5.491072, 5.491072, 0.000000, 0.000000, 506, 0, 0, 0.00, 0.00, 0
Interval, Responses
0.1, 0
0.2, 0
0.3, 0
0.4, 2
0.5, 28
0.6, 223
0.7, 572
0.8, 977
0.9, 1262
1.0, 1659
1.1, 1716
1.2, 2024
1.3, 2205
1.4, 2321
1.5, 2481
1.6, 2577
1.7, 2701
1.8, 2730
1.9, 2794
2.0, 2933
2.1, 3127
2.2, 3118
2.3, 3262
2.4, 3323
2.5, 3539
2.6, 3466
2.7, 3542
2.8, 3730
2.9, 3688
3.0, 3776
3.1, 3956
3.2, 3875
3.3, 4046
3.4, 4056
3.5, 4087
3.6, 4295
3.7, 4356
3.8, 4439
3.9, 4282
4.0, 4464
4.1, 4439
4.2, 4539
4.3, 4664
4.4, 4751
4.5, 4737
4.6, 4994
4.7, 5054
4.8, 4988
4.9, 5160
5.0, 4997
5.1, 5278
5.2, 5059
5.3, 4979
5.4, 4945
5.5, 4936
5.6, 5036
5.7, 5021
5.8, 4967
5.9, 5042
6.0, 4973
6.1, 5094
6.2, 5165
6.3, 5085
6.4, 5162
6.5, 5230
6.6, 5498
6.7, 5614
6.8, 5586
6.9, 5536
7.0, 5776
7.1, 5843
7.2, 5705
7.3, 5881
7.4, 5940
7.5, 6007
7.6, 6007
7.7, 6052
7.8, 6216
7.9, 6306
8.0, 6526
8.1, 6393
8.2, 6267
8.3, 6698
8.4, 6767
8.5, 6736
8.6, 7035
8.7, 7079
8.8, 7038
8.9, 7023
9.0, 7041
9.1, 6835
9.2, 6856
9.3, 6882
9.4, 7010
9.5, 7119
9.6, 6871
9.7, 6746
9.8, 6553
9.9, 6585
10.0, 6338
10.1, 6132
10.2, 6205
10.3, 6032
10.4, 6036
10.5, 5848
10.6, 5950
10.7, 5737
10.8, 5579
10.9, 5490
11.0, 5372
11.1, 5198
11.2, 4972
11.3, 4850
11.4, 4939
11.5, 4704
11.6, 4529
11.7, 4304
11.8, 4233
11.9, 4170
12.0, 4049
12.1, 3830
12.2, 3766
12.3, 3624
12.4, 3526
12.5, 3515
12.6, 3463
12.7, 3438
12.8, 3311
12.9, 3066
13.0, 2963
13.1, 2988
13.2, 2779
13.3, 2654
13.4, 2639
13.5, 2571
13.6, 2591
13.7, 2454
13.8, 2350
13.9, 2302
14.0, 2341
14.1, 2170
14.2, 2212
14.3, 2034
14.4, 1933
14.5, 1964
14.6, 1942
14.7, 1766
14.8, 1736
14.9, 1742
15.0, 1638
